City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
218,Nelson Bay,AU,2021-11-20 16:01:49,-32.7167,152.15,64.09,96,100,5.03
219,Ponta Do Sol,PT,2021-11-20 16:01:50,32.6667,-17.1,71.01,65,72,3.11
220,Gangtok,IN,2021-11-20 16:01:50,27.3333,88.6167,51.84,92,79,0.45
221,Kidal,ML,2021-11-20 16:01:51,18.4411,1.4078,92.34,12,99,11.34
222,Georgetown,MY,2021-11-20 16:01:51,5.4112,100.3354,80.53,89,40,11.5
223,Paka,MY,2021-11-20 16:01:52,4.6374,103.4368,79.84,85,49,4.72
224,San Julian,MX,2021-11-20 16:01:52,21.0167,-102.1667,61.86,61,0,6.31
225,Korla,CN,2021-11-20 16:00:29,41.7597,86.1469,29.44,50,0,2.84
226,Tilichiki,RU,2021-11-20 16:01:53,60.4667,166.1,1.26,94,99,10.65
227,Iquitos,PE,2021-11-20 16:01:53,-3.7481,-73.2472,84.09,72,84,3.2
228,Buchanan,LR,2021-11-20 16:01:54,5.8808,-10.0467,89.56,77,60,9.1
229,Saint-Augustin,CA,2021-11-20 16:01:54,51.226,-58.6502,30.97,52,9,16.62
230,Angoche,MZ,2021-11-20 16:01:55,-16.2325,39.9086,79.97,83,2,12.77
231,Tefe,BR,2021-11-20 16:00:16,-3.3542,-64.7114,73.65,98,100,2.75
232,Mar Del Plata,AR,2021-11-20 15:59:03,-38.0023,-57.5575,77.02,44,0,13.8
233,Lima,PE,2021-11-20 15:59:49,-12.0432,-77.0282,71.91,77,90,8.05
234,Isangel,VU,2021-11-20 16:01:56,-19.55,169.2667,74.03,79,98,3.8
235,Oistins,BB,2021-11-20 16:01:56,13.0667,-59.5333,83.52,71,31,12.88
236,Naze,JP,2021-11-20 16:01:57,28.3667,129.4833,68.38,72,99,16.75
237,Nantucket,US,2021-11-20 16:01:57,41.2835,-70.0995,46.51,61,1,5.75
238,Alexandria,EG,2021-11-20 16:00:04,31.2156,29.9553,64.92,65,100,15.88
239,Grand Forks,US,2021-11-20 16:01:58,47.9417,-97.4337,28.33,74,1,4.61
240,Vila Velha,BR,2021-11-20 16:01:58,-20.3297,-40.2925,75.15,88,75,5.75
241,Peterhead,GB,2021-11-20 16:01:58,57.5058,-1.7981,48.7,74,57,25.08
242,Clyde River,CA,2021-11-20 16:01:59,70.4692,-68.5914,9.09,90,100,9.71
243,Yerbogachen,RU,2021-11-20 16:01:59,61.2767,108.0108,3.15,98,100,1.9
244,Bonthe,SL,2021-11-20 16:02:00,7.5264,-12.505,86.13,66,14,10.78
245,Marystown,CA,2021-11-20 16:02:00,47.1666,-55.1483,43.86,100,45,8.99
246,Upata,VE,2021-11-20 16:02:01,8.0086,-62.3989,88.05,45,33,5.03
247,Concordia,AR,2021-11-20 15:57:26,-31.393,-58.0209,86.79,34,0,5.99
248,Tacuarembo,UY,2021-11-20 16:02:01,-31.7333,-55.9833,85.46,30,0,6.33
249,Hilo,US,2021-11-20 16:02:02,19.7297,-155.09,76.28,87,90,6.91
250,Deputatskiy,RU,2021-11-20 16:02:03,69.3,139.9,-6.45,99,100,2.3
251,Pevek,RU,2021-11-20 16:02:03,69.7008,170.3133,-9.98,95,75,3.0
252,San Rafael,AR,2021-11-20 15:58:16,-34.6177,-68.3301,85.59,22,1,7.18
253,Dubbo,AU,2021-11-20 16:00:10,-32.25,148.6167,62.73,94,90,9.22
254,Aleksandrov Gay,RU,2021-11-20 16:02:04,50.147,48.5704,38.05,87,100,28.41
255,Canning,IN,2021-11-20 16:02:04,22.3189,88.6714,78.82,57,12,2.77
256,Yulara,AU,2021-11-20 16:02:05,-25.2406,130.9889,69.57,63,99,20.38
257,Beringovskiy,RU,2021-11-20 16:02:05,63.05,179.3167,-0.76,97,33,9.57
