City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
356,Bac Ninh,VN,75.29,overcast clouds,21.1833,106.05,Nhà Nghỉ Xuân Hòa
360,Daru,PG,80.8,broken clouds,-9.0763,143.2092,Daru Lodge
363,Rio Grande,BR,78.91,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
364,Bengkulu,ID,75.31,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
366,Laureles,US,82.38,scattered clouds,26.1092,-97.4941,Los Fresnos Inn
374,Kirakira,SB,83.7,few clouds,-10.4544,161.9205,SanBiz Lodge
393,Sal Rei,CV,77.56,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
396,Sao Felix Do Xingu,BR,76.59,broken clouds,-6.6447,-51.995,Rio Xingu Camping
397,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
403,Tete,MZ,84.29,scattered clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
407,Luganville,VU,81.23,moderate rain,-15.5333,167.1667,The Espiritu Hotel
409,Nabire,ID,77.59,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
410,Pesqueria,MX,77.18,clear sky,25.7833,-100.05,Hotel Canino Pet Keepers /Central Can
431,Santiago,CL,87.24,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
433,Necochea,AR,82.76,few clouds,-38.5473,-58.7368,dyd -mar Hotel
436,Souillac,MU,76.35,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
437,Luwuk,ID,78.03,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
442,Atambua,ID,77.11,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
444,Viedma,AR,84.72,clear sky,-40.8135,-62.9967,Hotel Cristal
447,Sao Jose Da Coroa Grande,BR,78.76,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
452,Lufilufi,WS,87.58,scattered clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
455,Punta Cardon,VE,81.81,broken clouds,11.6581,-70.215,Bambuda hotel
470,Monrovia,LR,76.77,broken clouds,6.3005,-10.7969,Sunset Inn
474,Lorengau,PG,83.91,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
478,Victoria Point,AU,75.15,overcast clouds,-27.5833,153.3,Bay Retreat Motel
480,Quatre Cocos,MU,76.08,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
483,Lagunas,PE,86.79,light rain,-5.2269,-75.6753,Hospedaje Eco
486,Kelo,TD,80.35,clear sky,9.3086,15.8066,Plantation de Kelo
489,Mapastepec,MX,85.51,clear sky,15.4333,-92.9,Hotel San Carlos
491,The Valley,AI,80.74,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
494,Long Beach,US,77.85,haze,33.767,-118.1892,The Westin Long Beach
